"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with 11 to 15 years in business","2018","7,020","W","163,061","27,415,288","4.3","S","16.5","12.9"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with 16 or more years in business","2018","16,804","W","504,798","35,168,925","5.5","S","4.0","6.8"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with less than 2 years in business","2018","14,020","W","62,952","4,449,041","4.1","S","5.3","5.2"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with 2 to 3 years in business","2018","10,951","W","63,239","4,462,626","7.2","S","15.3","19.4"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with 4 to 5 years in business","2018","7,377","W","56,028","3,765,560","6.9","S","11.2","11.9"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with 6 to 10 years in business","2018","11,134","W","135,464","12,205,220","4.8","S","7.5","13.5"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with 11 to 15 years in business","2018","8,933","W","184,063","28,927,203","4.3","S","14.4","12.3"
"United States","51","Information","Classifiable","Classifiable","Classifiable","Classifiable","Firms with 16 or more years in business","2018","20,887","W","581,406","40,433,564","4.7","S","3.4","6.7"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with less than 2 years in business","2018","161","T","1,748","182,570","13.9","S","15.6","16.9"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with 2 to 3 years in business","2018","581","U","8,381","949,487","13.2","S","14.8","20.1"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with 4 to 5 years in business","2018","346","U","11,361","1,544,391","16.2","S","30.2","26.2"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with 6 to 10 years in business","2018","1,039","W","62,264","9,805,442","17.3","S","10.6","6.5"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with 11 to 15 years in business","2018","1,016","W","88,072","13,947,771","21.5","S","21.5","13.1"
"United States","51","Information","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","Firms with 16 or more years in business","2018","5,172","W","2,418,185","269,760,157","3.4","S","1.8","1.6"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with less than 2 years in business","2018","27,454","W","121,871","7,908,605","3.7","S","11.5","15.1"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with 2 to 3 years in business","2018","24,746","W","83,933","5,487,819","5.5","S","9.1","10.0"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with 4 to 5 years in business","2018","20,050","W","77,410","6,811,703","3.7","S","14.8","17.7"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with 6 to 10 years in business","2018","42,483","W","258,856","36,514,250","3.3","S","12.2","59.1"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with 11 to 15 years in business","2018","35,558","W","275,225","23,371,971","4.5","S","12.7","20.3"
"United States","52 (662)","Finance and insurance (662)","Total","Total","Total","Total","Firms with 16 or more years in business","2018","86,743","W","5,826,658","601,755,997","3.2","S","2.4","2.1"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with less than 2 years in business","2018","4,999","W","14,225","1,020,475","7.5","S","12.2","21.3"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with 2 to 3 years in business","2018","5,729","U","20,691","897,930","13.1","S","21.5","28.3"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with 4 to 5 years in business","2018","3,591","U","7,951","336,831","11.4","S","13.7","26.2"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with 6 to 10 years in business","2018","7,502","W","28,158","1,538,297","4.9","S","6.7","32.6"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with 11 to 15 years in business","2018","5,063","W","22,667","1,256,391","5.4","S","14.9","19.2"
"United States","52 (662)","Finance and insurance (662)","Female","Total","Total","Total","Firms with 16 or more years in business","2018","11,962","W","84,793","5,813,449","9.0","S","14.9","13.9"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with less than 2 years in business","2018","18,965","W","86,691","5,256,341","5.7","S","6.0","12.6"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with 2 to 3 years in business","2018","15,901","W","46,807","3,298,618","5.6","S","13.0","13.3"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with 4 to 5 years in business","2018","14,311","W","51,815","4,727,589","3.6","S","14.6","22.0"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with 6 to 10 years in business","2018","S","S","100,000 employees or more","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with 11 to 15 years in business","2018","25,450","W","165,632","13,339,670","5.4","S","13.2","20.3"
"United States","52 (662)","Finance and insurance (662)","Male","Total","Total","Total","Firms with 16 or more years in business","2018","57,669","W","865,165","74,804,240","4.0","S","8.0","10.3"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with less than 2 years in business","2018","3,213","U","17,488","1,209,047","14.7","S","67.4","59.8"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with 2 to 3 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with 4 to 5 years in business","2018","1,718","U","5,613","264,977","9.9","S","19.3","28.2"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with 6 to 10 years in business","2018","4,671","U","17,936","1,061,812","13.6","S","20.3","28.1"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with 11 to 15 years in business","2018","3,922","U","16,677","954,793","13.6","S","27.1","35.4"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Total","Total","Total","Firms with 16 or more years in business","2018","7,484","W","50,019","2,807,896","9.5","S","17.6","14.4"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with less than 2 years in business","2018","1,577","T","3,573","187,432","16.8","S","22.4","18.5"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","2,420","U","13,760","776,409","22.1","S","22.0","39.8"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","1,513","U","12,756","790,798","27.6","S","28.3","19.0"
"United States","52 (662)","Finance and insurance (662)","Total","Hispanic","Total","Total","Firms with 16 or more years in business","2018","2,024","U","10,471","541,743","18.3","S","24.9","25.9"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with less than 2 years in business","2018","550","R","1,218","37,488","34.2","S","36.9","27.3"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","397","U","4,582","300,304","43.7","S","22.6","6.9"
"United States","52 (662)","Finance and insurance (662)","Female","Hispanic","Total","Total","Firms with 16 or more years in business","2018","644","T","3,951","246,656","11.6","S","31.4","48.0"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with less than 2 years in business","2018","882","R","2,166","127,282","17.1","S","22.5","26.8"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","1,164","T","5,097","243,422","26.2","S","35.8","42.1"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","1,299","U","9,080","594,045","19.0","S","32.9","55.6"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","964","U","7,215","447,936","31.2","S","45.7","32.5"
"United States","52 (662)","Finance and insurance (662)","Male","Hispanic","Total","Total","Firms with 16 or more years in business","2018","1,349","U","6,491","290,094","28.6","S","35.7","25.5"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Hispanic","Total","Total","Firms with less than 2 years in business","2018","145","M","189","22,663","49.9","S","25.0","17.6"
"United States","52 (662)","Finance and insurance (662)","Equally male/female","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
